date,standardized_s,threshold_type,threshold_val,weight_type
2020-02-04,9.518638835977485e-7,r,0.5,mixed_active
2020-02-05,9.00619392360334e-7,r,0.5,mixed_active
2020-02-06,7.931376668254503e-7,r,0.5,mixed_active
2020-02-07,7.97956349606831e-7,r,0.5,mixed_active
2020-02-08,7.92980701324509e-7,r,0.5,mixed_active
2020-02-09,9.345570916255868e-7,r,0.5,mixed_active
2020-02-10,8.266970215147743e-7,r,0.5,mixed_active
2020-02-11,8.644862863264057e-7,r,0.5,mixed_active
2020-02-12,7.126598761439511e-7,r,0.5,mixed_active
2020-02-13,6.452003944507473e-7,r,0.5,mixed_active
2020-02-14,5.984340529264769e-7,r,0.5,mixed_active
2020-02-15,1.3878308060491178e-6,r,0.5,mixed_active
2020-02-16,1.4008614601539558e-6,r,0.5,mixed_active
2020-02-17,6.839340960564317e-7,r,0.5,mixed_active
2020-02-18,4.2687128435615243e-7,r,0.5,mixed_active
2020-02-19,4.6936872560284934e-7,r,0.5,mixed_active
2020-02-20,5.234767844336783e-7,r,0.5,mixed_active
2020-02-21,1.0404268991657308e-6,r,0.5,mixed_active
2020-02-22,2.815244794838569e-6,r,0.5,mixed_active
2020-02-23,3.050684379950907e-6,r,0.5,mixed_active
2020-02-24,4.4753324533792014e-6,r,0.5,mixed_active
2020-02-25,6.171070502656867e-6,r,0.5,mixed_active
2020-02-26,4.1014495029825126e-5,r,0.5,mixed_active
2020-02-27,2.6332046546738955e-5,r,0.5,mixed_active
2020-02-28,2.8121369565363755e-5,r,0.5,mixed_active
2020-02-29,6.17671598471033e-5,r,0.5,mixed_active
2020-03-01,7.182404804893947e-5,r,0.5,mixed_active
2020-03-02,9.947106581727315e-5,r,0.5,mixed_active
2020-03-03,1.3154257709603647e-4,r,0.5,mixed_active
2020-03-04,1.264848628187266e-4,r,0.5,mixed_active
2020-03-05,1.4800712929839122e-4,r,0.5,mixed_active
2020-03-06,2.0881504111327755e-4,r,0.5,mixed_active
2020-03-07,2.5737499450013095e-4,r,0.5,mixed_active
2020-03-08,2.3871476082892523e-4,r,0.5,mixed_active
2020-03-09,2.4343870682689322e-4,r,0.5,mixed_active
2020-03-10,2.6013069473639587e-4,r,0.5,mixed_active
2020-03-11,3.5540882801754394e-4,r,0.5,mixed_active
2020-03-12,3.627752577364035e-4,r,0.5,mixed_active
2020-03-13,3.838293036532396e-4,r,0.5,mixed_active
2020-03-14,6.556387300641538e-4,r,0.5,mixed_active
2020-03-15,8.25501159022437e-4,r,0.5,mixed_active
2020-03-16,0.001032370133419118,r,0.5,mixed_active
2020-03-17,0.0012803355018984946,r,0.5,mixed_active
2020-03-18,0.0026825398994238508,r,0.5,mixed_active
2020-03-19,0.0026182643699226697,r,0.5,mixed_active
2020-03-20,0.0034787157282511025,r,0.5,mixed_active
2020-03-21,0.0032242418995684532,r,0.5,mixed_active
2020-03-22,0.004120214972989401,r,0.5,mixed_active
2020-03-23,0.003720548793660147,r,0.5,mixed_active
2020-03-24,0.004078421580758044,r,0.5,mixed_active
2020-03-25,0.004214646962592194,r,0.5,mixed_active
2020-03-26,0.004242413200582877,r,0.5,mixed_active
2020-03-27,0.0047519656784640735,r,0.5,mixed_active
2020-03-28,0.005267944973319837,r,0.5,mixed_active
2020-03-29,0.006366647834102096,r,0.5,mixed_active
2020-03-30,0.006175602940196739,r,0.5,mixed_active
2020-03-31,0.00849985477032754,r,0.5,mixed_active
2020-04-01,0.009763781089853674,r,0.5,mixed_active
2020-04-02,0.01123002499131328,r,0.5,mixed_active
2020-04-03,0.012525587357923548,r,0.5,mixed_active
2020-04-04,0.01099652319143648,r,0.5,mixed_active
2020-04-05,0.011717220787720901,r,0.5,mixed_active
2020-04-06,0.011880949954044748,r,0.5,mixed_active
2020-04-07,0.014022960444712847,r,0.5,mixed_active
2020-04-08,0.015154765585531384,r,0.5,mixed_active
2020-04-09,0.0201726272903307,r,0.5,mixed_active
2020-04-10,0.04061063072375425,r,0.5,mixed_active
2020-04-11,0.041167997383677095,r,0.5,mixed_active
2020-04-12,0.04495162250695556,r,0.5,mixed_active
2020-04-13,0.04605281546182008,r,0.5,mixed_active
2020-04-14,0.01448591074482381,r,0.5,mixed_active
2020-04-15,0.03637482662412688,r,0.5,mixed_active
2020-04-16,0.040632271482737875,r,0.5,mixed_active
2020-04-17,0.036450646954930825,r,0.5,mixed_active
2020-04-18,0.009215773835600948,r,0.5,mixed_active
2020-04-19,0.008760727661142657,r,0.5,mixed_active
2020-04-20,0.009276365279120378,r,0.5,mixed_active
2020-04-21,0.01134755384882092,r,0.5,mixed_active
2020-04-22,0.009433389614386585,r,0.5,mixed_active
2020-04-23,0.009885307025613342,r,0.5,mixed_active
2020-04-24,0.009587557874993312,r,0.5,mixed_active
2020-04-25,0.010905181633646068,r,0.5,mixed_active
2020-04-26,0.012955534512889767,r,0.5,mixed_active
2020-04-27,0.018171334238224267,r,0.5,mixed_active
2020-04-28,0.011108294264641718,r,0.5,mixed_active
2020-04-29,0.008825967292521473,r,0.5,mixed_active
2020-04-30,0.013503618703889176,r,0.5,mixed_active
2020-05-01,0.002560899985218647,r,0.5,mixed_active
2020-05-02,0.002529964954079316,r,0.5,mixed_active
2020-05-03,0.0025736805842994544,r,0.5,mixed_active
2020-05-04,0.0024019267373599448,r,0.5,mixed_active
2020-05-05,0.0018639565406557525,r,0.5,mixed_active
2020-05-06,0.0018729912667539905,r,0.5,mixed_active
2020-05-07,0.0022322138666784038,r,0.5,mixed_active
2020-05-08,0.0018657671059412924,r,0.5,mixed_active
2020-05-09,0.002582640653118242,r,0.5,mixed_active
2020-05-10,0.001782549846591442,r,0.5,mixed_active
2020-05-11,0.0023952538182507852,r,0.5,mixed_active
2020-05-12,0.00265848198762244,r,0.5,mixed_active
2020-05-13,0.003253510693857384,r,0.5,mixed_active
2020-05-14,0.003462847801846874,r,0.5,mixed_active
2020-05-15,0.003810658277404265,r,0.5,mixed_active
2020-05-16,0.003981584694874674,r,0.5,mixed_active
2020-05-17,0.0037683431901099247,r,0.5,mixed_active
2020-05-18,0.0055760686443928195,r,0.5,mixed_active
2020-05-19,0.010629492514793552,r,0.5,mixed_active
2020-05-20,0.007010210575920925,r,0.5,mixed_active
2020-05-21,0.009200072702270686,r,0.5,mixed_active
2020-05-22,0.008021695070118745,r,0.5,mixed_active
2020-05-23,0.010786550500124684,r,0.5,mixed_active
2020-05-24,0.010662075154896354,r,0.5,mixed_active
2020-05-25,0.008389600605540948,r,0.5,mixed_active
2020-05-26,0.006372146017218951,r,0.5,mixed_active
2020-05-27,0.0071618748953155564,r,0.5,mixed_active
2020-05-28,0.005757358473564642,r,0.5,mixed_active
2020-05-29,0.008737271744324955,r,0.5,mixed_active
2020-05-30,0.01837913946305761,r,0.5,mixed_active
2020-05-31,0.0070158474600354095,r,0.5,mixed_active
2020-06-01,0.0038013735482489335,r,0.5,mixed_active
2020-06-02,0.003732375762352464,r,0.5,mixed_active
2020-06-03,0.0032498432554970407,r,0.5,mixed_active
2020-06-04,0.003206426085754384,r,0.5,mixed_active
2020-06-05,0.00358622230335087,r,0.5,mixed_active
2020-06-06,0.004334981647602823,r,0.5,mixed_active
2020-06-07,0.005562740661639888,r,0.5,mixed_active
2020-06-08,0.006566512237467477,r,0.5,mixed_active
2020-06-09,0.008512392026347088,r,0.5,mixed_active
2020-06-10,0.008885811204727945,r,0.5,mixed_active
2020-06-11,0.009683037566604403,r,0.5,mixed_active
2020-06-12,0.0076502907802576,r,0.5,mixed_active
2020-06-13,0.011370288417033182,r,0.5,mixed_active
2020-06-14,0.008357928515597288,r,0.5,mixed_active
2020-06-15,0.011675155950586338,r,0.5,mixed_active
2020-06-16,0.009021613527947722,r,0.5,mixed_active
2020-06-17,0.008317778114162724,r,0.5,mixed_active
2020-06-18,0.007206792344671715,r,0.5,mixed_active
2020-06-19,0.006822736100363774,r,0.5,mixed_active
2020-06-20,0.022015725732360426,r,0.5,mixed_active
2020-06-21,0.023136948579913993,r,0.5,mixed_active
2020-06-22,0.023982253794693098,r,0.5,mixed_active
2020-06-23,0.023643600618754267,r,0.5,mixed_active
2020-06-24,0.03071841362583144,r,0.5,mixed_active
2020-06-25,0.03152291820481015,r,0.5,mixed_active
2020-06-26,0.03279342152003656,r,0.5,mixed_active
2020-06-27,0.0325001003039249,r,0.5,mixed_active
2020-06-28,0.03368288993772349,r,0.5,mixed_active
2020-06-29,0.033341297348681256,r,0.5,mixed_active
2020-06-30,0.0317709540835374,r,0.5,mixed_active
2020-07-01,0.020301152492919083,r,0.5,mixed_active
2020-07-02,0.038037777671954286,r,0.5,mixed_active
2020-07-03,0.03422102411484783,r,0.5,mixed_active
2020-07-04,0.022153354273789103,r,0.5,mixed_active
2020-07-05,0.011075841585744676,r,0.5,mixed_active
2020-07-06,0.043647901107887854,r,0.5,mixed_active
2020-07-07,0.042589451424289396,r,0.5,mixed_active
2020-07-08,0.04273502688864919,r,0.5,mixed_active
2020-07-09,0.04711643758595921,r,0.5,mixed_active
2020-07-10,0.04472992985966799,r,0.5,mixed_active
2020-07-11,0.04557273277776831,r,0.5,mixed_active
2020-07-12,0.047326057926951465,r,0.5,mixed_active
2020-07-13,0.051985059965253724,r,0.5,mixed_active
2020-07-14,0.052222495368372625,r,0.5,mixed_active
2020-07-15,0.05812992231279739,r,0.5,mixed_active
2020-07-16,0.055346326144985594,r,0.5,mixed_active
2020-07-17,0.06382201268224896,r,0.5,mixed_active
2020-07-18,0.05803737828565501,r,0.5,mixed_active
2020-07-19,0.06931854353574793,r,0.5,mixed_active
2020-07-20,0.02462235739497816,r,0.5,mixed_active
2020-07-21,0.02266337817942861,r,0.5,mixed_active
2020-07-22,0.03486027916726789,r,0.5,mixed_active
2020-07-23,0.06310173494694855,r,0.5,mixed_active
2020-07-24,0.06253113079295033,r,0.5,mixed_active
2020-07-25,0.058528828357256854,r,0.5,mixed_active
2020-07-26,0.04193002671795453,r,0.5,mixed_active
2020-07-27,0.0386903475967048,r,0.5,mixed_active
2020-07-28,0.031694029766296,r,0.5,mixed_active
2020-07-29,0.036682321448757306,r,0.5,mixed_active
2020-07-30,0.04000014397864187,r,0.5,mixed_active
2020-07-31,0.06494009416016687,r,0.5,mixed_active
2020-08-01,0.040830814647855096,r,0.5,mixed_active
2020-08-02,0.07016310738046941,r,0.5,mixed_active
2020-08-03,0.07260323158145299,r,0.5,mixed_active
2020-08-04,0.06540389258431574,r,0.5,mixed_active
2020-08-05,0.0687375607143697,r,0.5,mixed_active
2020-08-06,0.06521267513112756,r,0.5,mixed_active
2020-08-07,0.03927879043662186,r,0.5,mixed_active
2020-08-08,0.06452338885323634,r,0.5,mixed_active
2020-08-09,0.06904597438487825,r,0.5,mixed_active
2020-08-10,0.08450404873861753,r,0.5,mixed_active
2020-08-11,0.04762389276890938,r,0.5,mixed_active
2020-08-12,0.059298491560186906,r,0.5,mixed_active
2020-08-13,0.06263907841142835,r,0.5,mixed_active
2020-08-14,0.05755806093542732,r,0.5,mixed_active
2020-08-15,0.0625953230060624,r,0.5,mixed_active
2020-08-16,0.06655956213280446,r,0.5,mixed_active
2020-08-17,0.06235520254640781,r,0.5,mixed_active
2020-08-18,0.051054882890001194,r,0.5,mixed_active
2020-08-19,0.045961266270436466,r,0.5,mixed_active
2020-08-20,0.05725443881805601,r,0.5,mixed_active
2020-08-21,0.059246521680204896,r,0.5,mixed_active
2020-08-22,0.05494373104536013,r,0.5,mixed_active
2020-08-23,0.03879783808020918,r,0.5,mixed_active
2020-08-24,0.03775239112865593,r,0.5,mixed_active
2020-08-25,0.03822471593156814,r,0.5,mixed_active
2020-08-26,0.03277294028426403,r,0.5,mixed_active
2020-08-27,0.033904630621091315,r,0.5,mixed_active
2020-08-28,0.029618188623562892,r,0.5,mixed_active
2020-08-29,0.034840766112863145,r,0.5,mixed_active
2020-08-30,0.031098991701656604,r,0.5,mixed_active
2020-08-31,0.03878723570867709,r,0.5,mixed_active
2020-09-01,0.04936863105281065,r,0.5,mixed_active
2020-09-02,0.03971238448405497,r,0.5,mixed_active
2020-09-03,0.0372474832291318,r,0.5,mixed_active
2020-09-04,0.038881977714279224,r,0.5,mixed_active
2020-09-05,0.03884572396518043,r,0.5,mixed_active
2020-09-06,0.06032445149536037,r,0.5,mixed_active
2020-09-07,0.09417424976042282,r,0.5,mixed_active
2020-09-08,0.06110651103968555,r,0.5,mixed_active
2020-09-09,0.05720844833230395,r,0.5,mixed_active
2020-09-10,0.05529438187862307,r,0.5,mixed_active
2020-09-11,0.05675034401941095,r,0.5,mixed_active
2020-09-12,0.057772334112772536,r,0.5,mixed_active
2020-09-13,0.06268490043394016,r,0.5,mixed_active
2020-09-14,0.06454334060742009,r,0.5,mixed_active
2020-09-15,0.05827844876206037,r,0.5,mixed_active
2020-09-16,0.059274109769290255,r,0.5,mixed_active
2020-09-17,0.05981674308912045,r,0.5,mixed_active
2020-09-18,0.06209598664646609,r,0.5,mixed_active
2020-09-19,0.06390330484901476,r,0.5,mixed_active
2020-09-20,0.07833347288308204,r,0.5,mixed_active
2020-09-21,0.06841310036575378,r,0.5,mixed_active
2020-09-22,0.07077434469137321,r,0.5,mixed_active
2020-09-23,0.07956678845595139,r,0.5,mixed_active
2020-09-24,0.06404307249212493,r,0.5,mixed_active
2020-09-25,0.06432129502076134,r,0.5,mixed_active
2020-09-26,0.06253065763197196,r,0.5,mixed_active
2020-09-27,0.06555577367489569,r,0.5,mixed_active
2020-09-28,0.09936368989495972,r,0.5,mixed_active
2020-09-29,0.058298665107298635,r,0.5,mixed_active
2020-09-30,0.09457771286943764,r,0.5,mixed_active
2020-10-01,0.09831305515615929,r,0.5,mixed_active
2020-10-02,0.10261996658936999,r,0.5,mixed_active
2020-10-03,0.1087393784255921,r,0.5,mixed_active
2020-10-04,0.06502747655655759,r,0.5,mixed_active
2020-10-05,0.10133104547161845,r,0.5,mixed_active
2020-10-06,0.10407208075112975,r,0.5,mixed_active
2020-10-07,0.09619910382460953,r,0.5,mixed_active
2020-10-08,0.061635118508025555,r,0.5,mixed_active
2020-10-09,0.05924615693126342,r,0.5,mixed_active
2020-10-10,0.062398268191519425,r,0.5,mixed_active
2020-10-11,0.06284973017833312,r,0.5,mixed_active
2020-10-12,0.06458959597035661,r,0.5,mixed_active
2020-10-13,0.062203782700539015,r,0.5,mixed_active
2020-10-14,0.06682809630480291,r,0.5,mixed_active
2020-10-15,0.06566098779835695,r,0.5,mixed_active
2020-10-16,0.06829813318095865,r,0.5,mixed_active
2020-10-17,0.07312720537140431,r,0.5,mixed_active
2020-10-18,0.07891487387001704,r,0.5,mixed_active
2020-10-19,0.06445322476099713,r,0.5,mixed_active
2020-10-20,0.08479515139578453,r,0.5,mixed_active
2020-10-21,0.07542546384065679,r,0.5,mixed_active
2020-10-22,0.11039732114876961,r,0.5,mixed_active
2020-10-23,0.11405387343316184,r,0.5,mixed_active
2020-10-24,0.12499775360848765,r,0.5,mixed_active
2020-10-25,0.1285678005038965,r,0.5,mixed_active
2020-10-26,0.12945513725562982,r,0.5,mixed_active
2020-10-27,0.10804726193241027,r,0.5,mixed_active
2020-10-28,0.11709532933169395,r,0.5,mixed_active
2020-10-29,0.11351195024848439,r,0.5,mixed_active
2020-10-30,0.11874253509521857,r,0.5,mixed_active
2020-10-31,0.11877109802006659,r,0.5,mixed_active
2020-11-01,0.11537270411241407,r,0.5,mixed_active
2020-11-02,0.10695213979980761,r,0.5,mixed_active
2020-11-03,0.1046181303469135,r,0.5,mixed_active
2020-11-04,0.09989998489166652,r,0.5,mixed_active
2020-11-05,0.07532362223706714,r,0.5,mixed_active
2020-11-06,0.07425931826067689,r,0.5,mixed_active
2020-11-07,0.07909415381464792,r,0.5,mixed_active
2020-11-08,0.07459715577643908,r,0.5,mixed_active
2020-11-09,0.07177251065807239,r,0.5,mixed_active
2020-11-10,0.06865229498524607,r,0.5,mixed_active
2020-11-11,0.0634566425357277,r,0.5,mixed_active
2020-11-12,0.06069177418213697,r,0.5,mixed_active
2020-11-13,0.04961678500540047,r,0.5,mixed_active
2020-11-14,0.0518619331997304,r,0.5,mixed_active
2020-11-15,0.09364475850655435,r,0.5,mixed_active
2020-11-16,0.09656294326969206,r,0.5,mixed_active
2020-11-17,0.09247192340213933,r,0.5,mixed_active
2020-11-18,0.1055087984880557,r,0.5,mixed_active
2020-11-19,0.10749868365120464,r,0.5,mixed_active
2020-11-20,0.11059883536804913,r,0.5,mixed_active
2020-11-21,0.13448618848205648,r,0.5,mixed_active
2020-11-22,0.15519759509683823,r,0.5,mixed_active
2020-11-23,0.1457464578204815,r,0.5,mixed_active
2020-11-24,0.15087328601083194,r,0.5,mixed_active
2020-11-25,0.15858111480825288,r,0.5,mixed_active
2020-11-26,0.15700589886375627,r,0.5,mixed_active
2020-11-27,0.15820068542250368,r,0.5,mixed_active
2020-11-28,0.147431195026798,r,0.5,mixed_active
2020-11-29,0.1461717595224074,r,0.5,mixed_active
2020-11-30,0.08818054705126638,r,0.5,mixed_active
2020-12-01,0.08284745240624858,r,0.5,mixed_active
2020-12-02,0.0896797661154664,r,0.5,mixed_active
2020-12-03,0.08389120376725051,r,0.5,mixed_active
